comment,sentiment
 Mới mua được hơn 1 tuần ... Mọi thứ đều ok ... Nhân viên phục vụ tận tình ... Trò truyện vui vẻ ... Dt thì quá ngon ... Để qua đêm có khi tụt 1% có khi k tụt ... Pin xài đc hơn 1 ngày (chỉ lướt face + youtube) mình xài khá nhìu ...,1
 21tr chụp bình thường thì đẹp mà zoom lên bị noise xấu qá :(( không biết có phải do phần mềm hay gì nữa ...,0
 Điện thoại sài ổn nhưng không hiểu sao cứ để không qua đêm là bị sụt mất 10-12% mặc dù đã tắt hết đa nhiệm,1
" Đt mới xài 1 ngày chưa bàn tới nhưng mình không ngờ tgdd mà không có nổi người dán màn hình chuyên nghiệp. Dán mặt sau mất 50k mà dán bằng 1 tấm keo to xong lấy dao lam cắt miếng dán ấn mạnh cà vào cả mặt kính lưng của mình, cắt thì lem nhem thấy gớm quá phải mua miếng khác tự về dán thì lột ra thấy 1 vết dao lam trên kính. Xót quá, Thất vọng",0
" máy mới dùng 2 tháng, sạc pin xong máy nóng ran, không dùng nữa đi ngủ , sáng ra dùng được 20 phút máy lại nóng ran không hiểu nổi",0
" Đã mua được mấy ngày , cảm thấy mọi thứ đều rất tốt ngoại trừ cái màn hình nói thật mà hơi tệ thôi. Nói chung là hài lòng",1
 tốc độ lưu ảnh chậm ko khác j con ip6 có lúc còn bị đơ!ra hỏi nhân viên kêu con này nhiều tính năng hơn nên lưu chậm là bình thường😂!nghe muốn đập dt đi về dùng ip6 cho rồi! có ai bị như mình ko?,0
 Đã múc em nó mua trả góp cho cu bạn! Xài ô tô kê. so với trong tầm giá vẫn vượt trội hơn mọi con khác :D ,1
 qua một ngày đêm tụt 18% pin. mạng đã tắt ứng dụng thoát hết. ko hiểu sao tụt kinh vậy?tụt hơn cả samsung. đt mới mua đc mấy ngày có ai như vậy ko?,0
 Mới dùng 2 tháng nhưng nay thỉnh thoảng mất kết nối sim phải chọc sim ra r lắp lại mới bình thường @@,0
 Mạnh. Làm sao tắt đc thanh báo vậy tđv. Đang chơi game mà lỡ chạm nhầm kéo xuống rất bất tiện ạ,0
" Iphone 1.mới đón e nó về hôm mùng 6 tết dung duoc 03 ngay cam nhan:máy đẹp pin rất ok trải nghiệm nhanh,Mượt màn hình với tôi thì quá ok rồi Camera rất tốt Nhân viên chu đáo nhiệt tình vui vẻ tôi đã mua nhiều sản phẩm từ TGDĐ và ĐMX NÓI chung ok",1
" Hàng ip11 mua 1/11/2019 đã cài đặt lại và cập nhập phiên bản mới vẫn bị sự cố tự dưng tắt nguồn, cmt phản hồi sự cố thì bị chặn..!",0
" Sản phẩm rất tuyệt vời, nhân viên vui vẻ nhiệt tình, pin trâu, chơi game rất mượt.",1
" Mới mua cái màu đỏ được 1 tuần tại shop Nguyễn Trãi Q5, khỏi phải bàn cãi về chất lượng, màn hình to, nét, chip khủng, pin trâu. Bùn cái là phải đầu tư thêm bộ sạc nhanh mới sạc nhanh được. Shop Nguyễn Trãi có vẻ thiếu các bạn tư vẫn nữ :)",1
" Sản phẩm quá tuyệt vời, mọi thử diễn ra nhanh ngoài mong đợi, nhân viên vui vẻ. Mong TGDĐ sớm có dịch vụ dán máy PPF.",1
" Sp tuyệt vời xài rất ngon, màn hình đẹp k có rỗ như mọi người nói, pin trâu bò, lướt face, zalo, chơi game mà dc gần 1,5 ngày.",1
 Đã mua hơn một tháng rồi vẫn vẫn xài rất êm . Thiết kế sang trọng - nhiều màu sắc để lựa chọn. Đặc biệt trãi nghiệm ứng dụng chơi game rất mượt.,1
" Đáng tiền hơn 2 con pro với pro max Màn hình ko bị rỗ như con XR, trãi nghiệm tốt",1
 Máy mình mua được 1 tháng.đã 3 lần tự động tắt ass touch.là bị lỗi gì mọi người.,1
 Mới bán iPhone xr mua iPhone 11 xr pin đã trâu gặp 11 con trâu hơn ....đáng nâng cấp vừa túi tiền,1
 Mới xúc 11 64gb tôi qua Phải nói đẹp tuyệt vời nhân viên ở dông anh phai nói phúc vu rất OK OK ,1
" Sản phẩm rất tốt, xài mượt, pin rất trâu. Nhân viên rất nhiệt tình và vui vẻ ko thể chê được @@",1
 Tất cả mọi thứ đều ổn trừ cái màn hình ra. Ước gì màn ngon hơn 1 chút thì đây là sản phẩm tuyệt vời nhất,1
" Ko có gì phải bàn cãi về chất lượng, sử dụng quá OK. Nhân viên nhiệt tình chu đáo  🤩",1
" Mình đặt mua iPhone 11 và lấy 1/11 tại tgdđ dùng đến nay hơn tuần sài quá tuyệt vời quá mượt màn hình ip11 năm nay quá đẹp các tác vụ đều mượt mà ko chê vào đâu được, pin thì khỏi phải nói rồi trâu bò luôn....sản phẩm đáng mua! iPhone mà...",1
 Mượt ngon đẹp  Mỗi tội trả góp trả được khuyến mại cái gì. APple bớt ki bo đi nhé. Heyy 😩,1
 Máy đẹp.dùng mượt khỏi chê.pin ổn dùng hỗn hợp đk tầm 6->7 tiếng.camera chụp đẹp.chơi game nhiêu hơi ấm thôi.nhân viên DMX cẩm sơn-cẩm thuỷ hỗ trợ nhiệt tình chu đáo.cảm ơn e NHÀN - mua có cái đt bé xíu mà xách za tận xe cho khách.đã và sẽ ủng hộ dài dài ,1
" Rất tuyệt vời. Máy đẹp,chạy mượt hơn cả mong đợi. Camera đẹp, cấu hình cực mạnh, màu sắc đẹp. Nhân viên nhiệt tình,vui vẻ. ",1
" máy rất mượt, chơi game đã, camera đẹp, thái độ nhân viên vui vẻ nhiệt tình, có điều mình mua máy mới thì muốn tự tay bóc seal hơn. chị nhân viên tự bóc hộp, tự bóc dt mà mình xót hết cả ruột @@",1
" Đã khiêng 1 em về dùng. Rất tuyệt luôn. Màn hình sắc nét, chụp ảnh miễn chê, pin qua ổn. Nhân viên phục vụ rất nhiệt tình❤️❤️❤️",1
" Màu sắc đẹp, hoàn thiện tốt, cấu hình cực mạnh, pin trâu, màn hình không rực rỡ như mong đợi, nhưng dùng tầm 1 ngày là quen, dùng lâu không mỏi mắt, màn hình ổn, không tệ như lời đồn, rất hài lòng. ",1
" Máy mỏng đẹp, chụp hình ngon lành. Mạnh mẽ, nhanh chóng, làm gì cũng nhanh, không bị trễ như android. Có điều tiếc chút vì không có vân tay màn hình. Pin thì đã ổn hơn trước nhiều. TGDD hỗ trợ nhiệt tình. Xài em iphone này chắc sẽ lâu lắm.",1
 iPhone quá đỉnh....quá mượt luôn dung rất tuyệt vời vời dong iPhone 11 sai rất tuyệt trải nghiệm quá ơn ,1
" Vừa khui lúc sáng ! Mọi thứ thật tuyệt vời ! Máy pin trâu , mượt , nhanh , màn hình rất nét ...! Cầm nặng tay xíu vì từ i6 lên mà ! 😂😂😂",1
" Pin có cải thiện hơn so với các dòng cũ,mình xài từ 7h sáng đến 10h tối là còn 20% pin.Có kết hợp xem video,nghe nhạc,lướt fb...lướt khá mượt,màn hình thì cảm nhận k bằng con XSMax. Nhưng cũng xứng với giá tiền.",1
 Máy ngon. Chụp hình Đẹp. Xin hỏi ở tgdd có củ sạc pin nhanh cho iphone 11 ko? Xin Cám ơn.,1
 Tui  mới mua được 3 ngày thì  thấy ok nhận diện khuôn mặt nhạy camera thì đẹp ok con chip thì mạnh chơi game ok để qua đêm tuột 3% nhìn kỹ mới thay màn hình rỗ thôi nói chung là thấy rất ok,1
" Lúc mới mua pin để qua đêm tuột cỡ 3-4% pin . Nay xài dc 2 tháng qua đêm pin tuột 10%pin , ",0
" Mình mới mua iphone 11 mới dùng được khoảng 1 tháng thì pin xuống còn 99%, gửi đi bảo hành thì bên hãng đổi cho 1 máy tương đương và dùng được 1 tháng lại xuống còn 99%. Mình chỉ dùng cơ bản lướt web nhẹ nhàng không chơi game. Ad có thể giải đáp giúp mình được không ạ?",0
 cảm giác sử dụng tốt pin trâu trải nhiệm oke không thích có mỗi không được tặng sạc nhanh và máy còn bị chậm khi lưu ảnh.. còn mọi thứ đều oki,1
 Tuyệt vời tất cả Nhưg màn hìh xe youtube k đã  Nếu là mÀn hình super ratine thì IP11 ĐÁNG MUA NHẤT,1
 Fran của ios từ đời iphone 4s đến nay ko có gì phải đánh giá vì 11 quá tuyệt vời,1
" Máy đẹp nhưng Ko có màu xanh như mình mong đợi , bỏ ra 22tr mà Apple vẫn ki bo bộ sạc nhanh",1
" Vua bốc tem e nói quá đa ko gì để ta quá tuyệt vời,nhân viên thì nhiệt tình cho 5*",1
" Mình vừa nhận máy được vào hôm, trải nghiệm máy rất nhạy, nhanh hình thức máy đẹp, camera k chê vào đâu được, tuy nhiên ở cửa hàng mình nhận máy phục vụ chưa được hài lòng lắm.",1
" Được vợ tặng sinh nhật thay cho cái máy xs max cũ. Mặt trước vẫn thế. Mặt sau đẹp. Máy mượt tốt. Chụp ảnh đẹp. Chụp góc rộng không nét lắm. Nhắn tin nghe gọi tốt. Pin trâu, chỉ dùng nghe gọi đọc báo gmail nên được gần 2 ngày. Nhược điểm khá to, đút túi quần lên xuống xe bị cấn. Hay tự nhận face id khi đút túi quần. Các bác lên xe ngồi tốt nhất lên để cạnh cần số rồi đeo tai nghe bluetooth thì hợp lí hơn.",1
 Sản phẩm vô cùng tuyệt vời riêng về hệ điều hành ios thì ko cần phải bàn cãi về chất lượng sản phẩm ,1
 Iphone đc cái là có con chip khỏe thôi  Nếu các hãng đt khác có con chip đó thì iphone tuổi,0
" Iphone 11 pro max là 1 sản phẩm có chất lượng màn hình rất tệ, phải nói là ko có gì để tệ hơn. Màn hình khi xem video youtube 1080p rất tối mờ đục dù đã mở hết độ sáng. So với Samsung s20 ultral thì thật sự thua xa, chỉ giỏi quảng cáo và bán thương hiệu và cái hệ điều hành gò bó người dùng ko cài dc ứng dụng thứ 3 và thử cân cả kho tiện ích như chplay xem có mượt ko ? 1 quản lý điện máy xanh và 1 quản lý thế giới di động đã xác nhận điều tôi nói là chính xác. Thanks",0
 Ổn trong tầm giá từ 40 triệu.................................................... ,0
 Trợ năng phần thích nghi cảm ứng quá tệ  thích nghi trong game dỡ tệ pin ok . trợ năng tệ hơn iphone xs max . ,0
" SP quá tuyệt vời, pin lâu, chụp hình quá đẹp, sp Apple ko có điểm gi để chê, Fan trung thành của nhà Táo",1
" Mua 18/01/2020 bản 256G 11 pro max, qua sử dụng thấy e nó quá tuyệt vời ! Tiền nào của đấy ko sai và iphone là số 1. Mấy e nv TG di động Hữu Lũng quá nhiệt tình, cute vcđ. Ai chê màn hình ám vàng là chưa biết tắt các chức năng đi nhé. Cầm trên tay mới thấy độ mượt ki máy nào có, pin trâu bò sài lâu ko dùng nhiều thì đến 2 ngày. Good !!!!",1
" Toi mua lúc Tết em 256g nay thay qua tệ,sạt 100 đêm đến sáng không xài 3g hay wifi và cũng không đụng đến em ấy nhưng sáng ra dt còn 91% pin là sao?",0
 Cho em hỏi em vừa mới mua iPhone 11 pro max . Nhưng màn hình của em nó bị ám vàng ạ . Em mua về đến tối thì em mới để ý là màn hình bị ám vàng . Không biết đó là lỗi hay như thế nào ạ . ,1
 Phục vụ tốt rất hài lòng cho 5 sao luôn hehe...................................;))))),1
" Máy ổn, nhân viên phục vụ tạm được.  Sáng qua nhận hàng tại khu lê lợi, lục ngạn, bắc giang",1
 Quá đã tiền nào của đó nhé mấy bạn máy quá em nhân viên phục vụ quá nhiệt tình luôn cảm ơn thế giới di động,1
 Mới cầm 40 triệu tiền lẻ vô TGDĐ mua iphone 11 pro mã nhưng thái độ nhân viên phục vụ thì.... link xem: https://youtu.be/aVD4ktk1bUo,1
 Nay mới có thời gian ra thế giới di động mua iphone 11 pro max hỗ trợ rất nhanh nhân viên rất nhiệt tình,1
 Sản phẩm tuyệt vời.,1
" Quá tốt quá tuyệt vời, nhân viên phục vụ niềm nỡ vui vẻ hỗ trợ nhiệt tình, iphone thì khỏi bàn rồi ",1
" Chờ đợi mòn mỏi đã lâu nên vừa 1/11 là ra hốt ngay. Mình mua ở tgdd trong điện máy xanh, phải nói mấy bạn nhân viên cực kì nice, tư vấn rất nhiệt tình. Loveyassss",1
 Nói chung là tuyệt vời mà mua hôm nay pin trâu mượt thì khỏi nói rồi  Nv tgdd phục vụ nhiệt tình nè vui vẻ nữa  ❤️,1
 vừa lấy xong cách phục vụ của các nhân viên ở thegioididong tân quy quá tốt. sẽ ũng hộ dài dài. hihi,1
 Mới lấy về tặng sinh nhật bà xã Thấy mượt đẹp  Chụp ảnh khỏi chê Nói chung rất tuyệt vời Còn chưa nói cách phục vụ của anh quản lý tên Nam ở của hàng ngã tư phan đăng lưu và phan xích long Dể thương cực kỳ Sẽ luôn ủng hộ tgdd Sự uy tín làm nên sự tin tưởng,1
 Bên bạn có bán cáp sạc dự phòng dành cho iphone 11 pro 256gb không. Mình mới mua sản phẩm đc 3 ngày và nhận ra cổng sạc usb trên sạc dự phòng anker mua kèm không dùng được vì apple dùng cổng usb-C để sạc,1
 iPhone 11 pro max rất đẹp tuyệt vời thích lắm,1
 Bảo mật quá kém .khuôn mặt để ng khác mở đx😏.có video quay lại luôn.bảo mật đỉnh cao là dị thôi à,0
 Xài ngon chơi game hỏi nói nhiều đáng tiền làm sinh viên nhịn đói 2 hai tháng đúng là hợp lý,1
" IPhone đã cải thiện rất tốt về vấn đề pin. Apple A13 thật sự rất rất mạnh đứng đầu các mẫu flaship so với con ROG 2 của mình nó ăn đứt ở game nặng. Cam góc rộng rất xuất sắc, mình đánh giá nó nằm trên con Note10. Sạc nhanh, trợ lí ảo,.v.v... Đối với mình là Iphone 11 pro max thực sự là một siêu phâm! ",1
" Nhân viên nhiệt tình, sãn phẩm vừa tay, tăng ưu đãi khách hàng thân thiết càng tuyệt vời hơn",1
 Ip 11 pro 256g màu xanh lá đẹp và mọi thứ đều hài lòng.tui rất thích chiếc dế này ,1
 Vừa lấy con 11 pro 256gb màu xanh rêu. Nhìn chung màu máy năm nay có con màu này là ấn tượng nhất. Nói chung iphone ngon như giá tiền bỏ ra. Ai mua iphone 11 chịu khó dán màn hình nha trầy uổng lắm!!!,1
 Sản phẩm đẹp. Camera Không xấu như trên hình. Màu xanh nhìn là me ngay. Pin chưa sử dụng chưa biết. Mới lấy máy xong,1
" Hôm 27/2/2020 mình có mua 01 máy iPhone 11 Pro Max 64GB tại Siêu thị điện máy xanh, Trần Hưng Đạo, Đồng Hới, Quảng Bình. máy chạy khá ổn, nhưng mới 02 tháng sử dụng đã bị chai pin, dung lượng tối đa từ 100% còn 98%, mặc dù dùng rất cẩn thận và luôn sạc đúng quy trình. Myas mua ở đây đắt hơn các nơi khác từ 2-3 triệu để mong muốn chất lượng tốt nhất nhưng thế này thì thật thất vọng, mặc dù mình mua đồ đây ko ít. Mong có phản hồi sớm từ ĐMX",0
 Quá ngon cho số tiền bỏ ra dự tính đợi 12 ra mua nhưng đợi lâu quá nên mua luôn pin thì phải nói trâu thật sự trước giờ sài iphone chỉ e ngại khoảng pin nhưng từ khi đổi qua con này thì quá là tuyệt vời nếu có tiền mọi người nên mua con này sài ít xuống máy ít rớt giá cấu hình này sài thoải mái thêm 3-4 năm nữa😍😍😍😍,1
" Quá ngon luôn, máy đẹp cầm đầm tay camera chất hiệu năng tốt, pin khỏe sạc nhanh",1
 Cái giá nói lên tất cả rồi . 11 pro max đỉnh thật sự . Nhân viên nhiệt tình rất là hài lòng về thái độ tiếp đón phục vụ . Ai có khả năng thì nên tậu 1 con ^^,1
 Cái giá nói lên tất cả rồi . Tuyệt vời nhé mọi người . Có điều kiện làm ngay 1 con . Hơi bị đỉnh đấy =)),1
 Đã thử sang note 10 nhưng vẫn quay lại với IPhone. Thề androi như bùi mng ạ.. phần gia công iphone làm rất tốt. Cái note 10+ thật sự đc mỗi cái màn hình ngon. ,1
" Tất cả các chức năng đều rất ok chỉ có mỗi cái loa và mic là dỡ nhất. Loa và mic nhại lại tiếng nói rất là ồn không nghe được gì cả. Tôi đã đổi máy mới khác và thử tất cả các máy iphone 11 khác cũng đều bị như vậy khi gọi zalo fb hay face time gì cũng đều bị hết. Chỉ có gọi thoại bình thường là k bị thôi.  1 lời khuyên chân thành khi ai muốn mua con iphone 11 , iphone 11 pro max này thì đừng nên  mua vì sẽ hối hận đấy nếu k tin tôi",0
" Pro max xài mượt ,chụp ảnh siêu nét, vì thế ae cứ tự tin mà mua, chipp chấp tất cả các loại game đều mượt",1
 Thật tuyệt vời . Mua hôm giảm 15% quad tuyêth vời cho siêu phẩm nhà Táo ko còn gì để chê cả. Từ 7plus lên luôn 11pro max rất ổn . Nhân viên nhiệt tình vui vẻ ,1
" Đã mua và dùng thấy rất mượt mà, chụp hình đẹp không phải bàn nói chung là ko có gì bằng 1 từ thôi CHẤT",1
" Pin dùng đến giờ tạm được , màn hình vẫn chưa được mềm mại lắm, khoá nhận diện khuôn mặt ok",1
" Máy thì ngon nhưng chủ yếu dùng nghe gọi nên giá hơi chát. Tuy nhiên iphone dùng 4,5 năm vẫn tốt. Nên mua.",1
" Sản phẩm tốt, mượt mà, chất lượng, nhân viên nhiệt tình chu đáo . 5 sao cho sản phẩm và cửa hàng",1
" Pro max xài mượt ,chụp ảnh siêu nét, chipp chấp tất cả các loại game đều mượt. Cái note 10+ thật sự đc mỗi cái màn hình ngon.",1
 Mình mua được hơn 1 tháng rồi máy hoạt động êm nước lọc ngon nhưng không được hài lòng cho lắm,1
 Sản phẩm sử dụng pin dưới 20% xem 4g có dấu hiệu trễ mạng. Pin không ổn định sau 1 tuần sử dụng khi update bản 13.3.1,0
 Thật sự khi sd Iphone xong thì ko thể sd dòng Android được nữa . Từ 7Plus mà đợi lên tới Promax lun . Dân mê chụp ảnh thì đó là 1 lựa chọn tuyệt vời ,1
 Thật tuyệt vời . Mua hôm giảm 15% quad tuyêth vời cho siêu phẩm nhà Táo ko còn gì để chê cả. Từ 7plus lên luôn 11pro max rất ổn . Nhân viên nhiệt tình vui vẻ,1
" Mới mua em này, pin thật sự rất trâu, chế độ chụp đêm quá vượt bật so với thế hệ cũ, nhân viên ở thị xã ninh hòa tư vấn nhiệt tình, ân cần",1
" Máy mượt, camera đẹp, chỉ có điều pin vẫn nhanh hao. Face ID nhiều lúc không nhận diện được mặt mình ",1
" Sản phẩm đẹp, nhưng khuyết điểm của nó là cục sạc cắm sạc đc 25% khi sờ vào sạc rất nóng m.n nhé. Máy rất sang camera nét lắm. Pin trâu, thường thì samsung dùng từ 7h sáng đến 15h hết cạn rồi nhưng iphone xs max hoàn toàn khác. Các bạn có thể xem và trải nghiệm tại thế giới di động hoặc điện máy xanh rất yên tâm không lo hàng tàu nha.",1
" Sản phẩm quá tuyệt,máy cực sang, mở khóa bằng khuôn mặt cực nhạy , nhân viên phục vụ rất tận tình !",1
" Sản phẩm quá tuyệt!!! Đã dùng được hơn một tháng, không có lỗi lầm gì, camera thì khỏi bàn quá đỉnh, quá chất. Xứng đáng đồng tiền bỏ ra. Nhân viên phục vụ tốt.",1
" Quá hài lòng với sản phẩm ! Máy sang cực .. chơi game mượt . Nhân viên TGDD rất chu đáo , sẽ ủng hộ dài dài !",1
" Có ai xài mà người ta điện tới có khi đc khi ko , kêu tít tít xong lại tắt giống mất sóng vậy . Ko bik là do máy hay do nhà mạng .",1
 Mua máy gần 1 tháng nói chung sài rất ok. Sài iphone có trái táo nó sang sang sao á. Chỉ có pin dung lượng hơi thấp hơn so với android.  Nói chung sài máy nó mượt đã lắm mọi người nên mua dùng đi,1
" Đã nhận máy hôm qua, máy hoàn thiện tốt, màu bạc theo mình cho cảm giác sang trọng, màn hình hiển thị đẹp, thao tác mượt mà, cầm khá đầm tay, pin vẫn thấy ổn...",1
" Máy bề ngoài đẹp mà pin kém quá, cầm cảm giác không chắc tay sạc pin vẫn là vấn đề bao năm, rất lâu",0
" Màn hình lớn thiết kế tai thỏ nhỏ gọn, pin xài rất lâu đặt biệt dòng điện thọi iphone thiết kế bóng bẩy và sang trọng, máy chạy rất mượt, chụp hình rất nét, bộ nhớ lớn thoải mái lưu trữ, xứng đáng để chọn mua.",1
" Máy màu gold quá đẹp, tuy nhiên pin yếu hơn 8plus. Và sạc theo máy khá lâu. Nhìn chung là tốt ",1
 Đang sử dụng và chỉ chưa hài lòng lắm với: 1. Giá 2. Pin 3. Màn hình chưa được tối ưu hết 4. Củ sạc zin theo máy thì sạc rất là lâu.,1
 Máy mới mua nhưng có điều pin hơi tụt nhanh. Sạc đầy cũng hơi lâu nhưng nói chung xài ok ,1
" Mới mua tại TP Quy Nhơn,sản phẩm rất tốt không có gì để chê.màu gold rất đẹp.Nhân viên tư vấn rất nhiệt tình.",1
" Siêu phẩm xứng đáng đồng tiền bát gạo, k có điểm gì phải chê. Rất chim ưng em nó !",1
" Đã nhận máy hôm qua, máy hoàn thiện tốt, màu vàng mới theo mình cho cảm giác sang trọng, màn hình hiển thị đẹp, thao tác mượt mà, cầm khá đầm tay....",1
" sản phẩm đúng là một kiệt tác của táo ae ạ, dùng rất mượt và sang trọng đẳng cấp của mọi lứa tuổi",1
" Sản phẩm tuyệt vời, sang, xịn, mịn ^^. máy mướt, cam đẹp, MH sáng, có chút hạn chế về pin tuy nhiên vẫn đủ dùng cho mọi người, nói chung là đáng mua đấy ạ, ",1
 Còn gì để bàn nữa ❤️ iPhone xứng tầm một thương hiệu 🤞 tuyệt vời từ kiểu dáng đến giao diện của máy  camera bảo đẹp 💋 pin lại xứng đáng 💚,1
" máy đẹp, sang, cấu hình cũng khá ổn chơi game chụp hình cũng mượt        không có tiền mua",1
 Máy đẹp sang chụp hình đẹp hiệu suất máy cao. Đấy là những người có tiền mua sẽ nói thế. Còn mình ko có tiền mua 😪😪😪,1
" Chơi game khá ổn, nhưng mặt lưng s hơi ám các cạnh, củng có tình trạng tụt pin nhanh, nóng máy",0
" Sản phẩm dùng rất mượt mà, thiết kế sang trọng,nhân viên nhiệt tình chu đào. m rất hài lòng",1
" Máy iPhone XS Max ko biết có lỗi gì ko nữa, mình mua sạc pin khoảng 3 tiếng mấy mới đầy 100%, chơi PUBG mobile khi nóng thì bị lag xảy ra, khi có cuộc gọi đến hay bị xảy ra mất sóng kêu tút máy mình có dùng eSim nhưng chế độ 2 sim khi nt rất khó dùng khi chuyển đổi sim gửi tin nhắn đi.... Cho mình hỏi khi mình mua adapter sạc nhanh thì sạc pin lên 100% pin tốn thời gian khoảng 1 tiếng ko ? Chứ mình thấy pin sạc cực kì lâu",0
" Thông tin khách hàng sau không hiện sản phẩm đã mua như trước nữa, bất tiện quá.",1
" sản phẩm chất lượng, không xót tiền khi đổi từ x lên. Màn hình lớn làm gì cũng thích, nhất là xem video và đọc truyện",1
 Máy ok mình sài đc hơn 2 tháng. Rất hài lòng. Máy mượt mà chỉ có ios đôi lúc lỗi chút,1
" Sao cái của mình cục sạc 3 chấu nhĩ, ko hiểu nhiều về iPhone, máy đẹp hút hồn, ko biết gold vàng thật hay giả",1
 Dùng cũng được. Mua về chủ yếu cầm cho oai. Chứ không dùng để chơi game hay xem phim tự sướng gì. Với số tiền 35tr thì mình Xe ôm mua cố được. Nói chung nhỏ thêm chút thì ngon. Cầm vừa tay. Đút vừa túi. Hình thức giống x và xs quá lên hay bị nhầm cầm không được sang lắm,1
 Quá xuất sắc . Loa lớn khủng khiếp nghe nhạc rất phiêuu . Hiệu năng mượt . Màu vàng rất sang trọng,1
" Mình nói thật sản phẩm tốt nhưng có điều sạc theo máy sạc rất chậm, trưa cắm sạc ngủ 1 giấc thức ĐT còn chưa đầy pin, ai cũng bỏ mấy chục triệu ra mua ĐT nhưng có dc bao nhiêu người dám mua cục sạc nhanh,mua iPhone cũng vì sỉ diện là chính ",0
 Quá xuất sắc . Loa lớn khủng khiếp nghe nhạc rất phiêuu . Hiệu năng mượt . Màu vàng rất sang trọng . ,1
 Sản phẩm tốt. Pin khoẻ. Quá tuyệt vời. Chắc best trong tầm giá rồi. Đã mua và sử dụng hơn 4 tháng,1
 Điện thoại đẹp...cấu hình ổn...nhưng pin thì để wa đêm tụt 15%...có ai bị giống tôi không?,1
 Quá hài lòng về sản phẩm iphone 11 pro 64G  Hài lòng với nhân viên tư vấn và cách phục vụ ở thế giới di động 161 Lê Văn Việt Quận 9 . Còn trải nghiệm lâu dài thì để từ từ mình đánh giá lại sau trước tiên cho 5 sao đã :),1
" Mọi thứ đều tuyệt vời trừ mỗi điểm bắt wifi hơi kém, k biết có bác nào bị nv k ạ?",1
" Quá đỉnh, quá tuyệt vời, chụp hình super đẹp, nhất là ban đêm, mọi tác vụ quá êm. Quá hài lòng",1
" Khác biệt, sang trọng, chức năng hoàn hảo. Camera góc rộng tuyệt vời! Pin được lâu",1
" Excellent, sag chảnh, lấy ra cầm là người đối diện biết ngay richkid, nổi bật giữa đám đôg nghèo bần xài điện thoại 4-5 triệu",1
  Iphone chẳng bao giờ làm mình thất vọng cả :) có điều đời xs max thì pin vẫn chưa cho mình ấn tượng bằng 11 pro max 🙄,1
" Sản phẩm rất êm, ít bị nóng máy, đã sử dụng hơn 1 năm, rất hài lòng. Chơi game mượt, chụp ảnh đẹp",1
" Mh mua ip xs max từ 3/3 tới nay là 9/3 là đc 7ngày, máy chạy nhah ,mượt, nhg thất vọng cái là chạy 3g, 4g hay phát nhạc hoặc xem video thì máy nóg ran lên,,,",1
